way,node
8915057,856296954
8915057,65281826
8915057,65281830
8915058,65281835
8915058,65281838
8915059,65281856
8915059,65281859
8915060,729040229
8915060,65281899
8915060,65281897
8915060,65281895
8915060,65281752
8915062,65281944
8915062,1792795208
8915062,1792795201
8915062,1792795184
8915062,353151015
8915062,1792795185
8915062,65281942
8915063,65281950
8915063,856296946
8915063,65281952
8915068,65282003
8915068,313890457
8915068,313890458
8915068,1197858954
8915068,1197858760
8915070,1201337039
8915070,529101998
8915071,65282071
8915071,65282074
8915071,316918064
8915074,65282083
8915074,65282130
8915074,65282133
8915074,65282135
8915075,65282130
8915075,65282140
8915075,65282144
8915076,303707880
8915076,65282149
8915076,65282151
8915076,65282154
8915076,1659365989
8915078,65282190
8915078,775319178
8915078,775318905
8915078,775318906
8915078,775318907
8915078,775318909
8915078,775318910
8915078,775318911
8915078,775318912
8915078,775318913
8915078,775318914
8915078,65282200
8915091,65282272
8915091,65282275
8915091,65282277
8915091,65282282
8915091,65282289
8915091,65282292
8915091,65282295
8915091,65282302
8915091,65282307
8915091,65282310
8915091,65282312
8915091,65282314
8915091,65282315
8915091,332786709
8915094,65282328
8915094,65282329
8915094,65282330
8915094,65282331
8915094,65282332
8915096,65282347
8915096,1809551363
8915096,1809551394
8915096,345503246
8915096,1809551383
8915096,1809551371
8915096,1809551370
8915096,318256291
8915096,1809551377
8915096,318256292
8915096,318256293
8915096,318256025
8915096,1809551372
8915096,318256026
8915096,1809551391
8915096,65282353
8915101,65282369
8915101,766932402
8915101,65282372
8915101,766932403
8915101,65282374
8915103,65282380
8915103,65282382
8915103,65282385
8915103,295485248
8915103,1709838960
8915103,65282387
8915105,65282387
8915105,65282397
8915105,295485363
8915105,1709838926
8915105,1709838909
8915105,65282394
8915105,1709838911
8915105,65282392
8915111,65282415
8915111,295485947
8915115,65282467
8915115,1260360823
8915115,1260360861
8915115,300756752
8915115,65282471
8915115,65282474
8915115,308712293
8915115,1260360927
8915115,2304708063
8915115,2304708062
8915115,65290249
8915117,298081952
8915117,1260360802
8915117,1260360915
8915117,1260360879
8915117,65282484
8915117,1260360793
8915117,65282487
8915117,1260360862
8915117,65282490
8915117,65282467
8915123,293741891
8915123,1260360804
8915123,1260360831
8915123,65282536
8915123,65282538
8915123,1260360907
8915123,65282539
8915123,1260360818
8915123,65282542
8915129,65282573
8915129,612497394
8915137,766885277
8915137,259395657
8915137,766932650
8915137,766932651
8915137,766932652
8915137,303450218
8915137,766932991
8915137,259395658
8915137,766932653
8915137,766932654
8915137,766932655
8915137,766932656
8915137,259395659
8915137,766932657
8915137,766932658
8915137,766932659
8915137,259395660
8915137,766932660
8915137,766932661
8915137,766932662
8915137,766932663
8915137,766914623
8915137,766914624
8915137,766914625
8915137,65282660
8915137,766914626
8915137,65281285
8915137,65282662
8915137,65282517
8915137,259408089
8915151,65282779
8915151,1260360848
8915151,353149141
8915151,65282781
8915151,1260360909
8915151,1260360923
8915151,65282783
8915151,65282786
8915163,436978770
8915163,323373875
8915166,65282942
8915166,65282944
8915168,65282949
8915168,665558537
8915168,665558538
8915168,351962611
8915174,65280405
8915174,65282960
8915177,65283026
8915177,65283028
8915177,65283032
8915177,65283034
8915177,65283036
8915177,65283041
8915177,65283043
8915177,65283045
8915177,65283053
8915177,65283026
8915182,65283086
8915182,65283088
8915182,65283091
8915185,65283112
8915185,2449889389
8915185,65283101
8915185,1763497376
8915185,65283107
8915187,65283117
8915187,615437456
8915189,65283145
8915189,612726044
8915189,2512168947
8915189,65283143
8915189,612726045
8915189,65283141
8915189,65283138
8915189,65283136
8915189,2512168938
8915189,612726046
8915189,65283134
