way,node
3630516,17809567
3630516,338546140
3630516,21648574
3630516,21648575
3630516,735177633
3630516,735177320
3630516,8809459
3630516,803878421
3630637,366595
3630637,3375712100
3630637,386594431
3630637,2529812275
3630637,1849057385
3630637,2503947170
3630637,15035534
3630637,15035533
3630637,2503947161
3630637,2256024151
3630637,2847610801
3630637,2503947151
3630637,15035553
3630638,15035571
3630638,15035572
3630640,361735
3630640,2301475507
3630640,361054
3630640,361055
3630640,2292132681
3630640,767557039
3630640,15435232
3630640,2292132657
3630640,15435233
3630641,792991
3630641,2349988217
3630641,792953
3630643,15435231
3630643,2535761970
3630643,506346502
3630643,2493828849
3630643,15435234
3630644,361056
3630644,2349988239
3630644,2299330295
3630644,1763007470
3630644,2535761924
3630644,361705
3630645,792952
3630645,792953
3630647,15035558
3630647,15035560
3630647,360930
3630648,480690113
3630648,2301514700
3630648,494225693
3630648,15035561
3630649,361736
3630649,966840493
3630649,2264971749
3630649,2140279452
3630649,792956
3630649,253549475
3630649,792955
3630649,2140279449
3630649,2773308820
3630649,792954
3630650,644147
3630650,2264971741
3630650,2301514744
3630650,361769
3630650,2264971743
3630650,2264971740
3630650,792958
3630654,792961
3630654,2722028093
3630654,2264971742
3630654,506368934
3630654,792958
3630655,792980
3630655,662420110
3630655,2301475472
3630655,792967
3630655,2722027858
3630655,792964
3630656,792985
3630656,277065027
3630656,297788299
3630656,2264974817
3630656,1688996
3630659,366595
3630659,2529812278
3630659,1689006
3630659,2462231492
3630659,1689008
3630660,1689016
3630660,2722027892
3630660,1689013
3630700,368093
3630700,2140279509
3630700,976277716
3630701,361733
3630701,659354825
3630701,659354826
3630701,361740
3630703,361730
3630703,659360391
3630703,769869040
3630703,361731
3630703,769869043
3630703,2499743256
3630703,659360409
3630703,361733
3630705,361734
3630705,2499743332
3630705,361752
3630706,361753
3630706,2499743336
3630706,2499743334
3630706,361752
3630707,361044
3630707,43887517
3630707,361753
3630709,361795
3630709,2650782889
3630709,361748
3630709,2272081782
3630709,2272081783
3630709,361749
3630709,2650782900
3630709,644154
3630710,361749
3630710,2606214799
3630710,15859510
3630710,15859519
3630963,15035533
3630963,2503947154
3630963,2462225113
3630963,335614879
3630963,335614880
3630963,2503947149
3630963,15035547
3630964,382015
3630964,335614493
3630964,2942289158
3630964,15035575
3630966,15035556
3630966,335614491
3630966,335614492
3630966,15035574
3630968,15035541
3630968,15035542
3630968,335614445
3630969,2597236736
3630969,2597236732
3630969,2503947181
3630969,2529842249
3630969,2503947173
3630969,15435244
3630969,2503947167
3630969,15035534
3838029,361106
3838029,94161446
3838029,2388988915
3838029,1232772852
3838029,94219781
3838029,1227287667
3838029,94161176
3839423,799800215
3839423,799800247
3839423,2520454817
3839423,799800252
3839423,799800258
3839423,577328474
3867659,361112
3867659,1236630573
3867659,94233621
3867659,1871776628
3867659,367932
3867660,19722931
3867660,94237931
3867660,1242220638
3867660,2503004967
3867660,1835516169
3869981,19794640
3869981,2278721085
3869981,2831788933
3869981,2831788929
3869981,243351415
3869981,243351406
3869981,243351338
3869982,123246622
3869982,654567042
3869982,1668388733
3869982,654567043
3869982,654567031
3869982,621248624
3869983,17809163
3869983,2250943226
3869983,2250943180
3869983,17809162
3869983,2250943171
3869983,2250943103
3869983,151358219
3869983,2250943076
3869983,2250943021
3869983,17809161
3869983,2250942996
3869983,2250942966
3869983,17809164
4006552,88201209
4006552,2501585265
4006552,313775090
4006555,392014907
4006555,997052993
4006555,177270122
4006555,1166505004
4006555,34818796
4006556,361000
4006556,277576907
4006556,177268978
4006556,177267816
4006558,442256
4006558,139205797
4006558,258132095
4006558,442257
4006558,350534252
4006558,139205798
4006558,27373205
4006558,27373192
4006558,139205790
4006558,1768994373
4006558,27373193
4006559,442258
